filename	maf	phenotype_name	phenotype_code	p-1e-04	p-1e-05	p-1e-06	p-1e-07	p-1e-08
100001_irnt	maf_0.01	Food weight	100001_irnt	236	35	9	1	0
100001_raw	maf_0.01	Food weight	100001_raw	262	37	8	0	0
100002_irnt	maf_0.01	Energy	100002_irnt	220	23	4	1	0
100002_raw	maf_0.01	Energy	100002_raw	223	30	4	0	0
100003_irnt	maf_0.01	Protein	100003_irnt	216	30	3	0	0
100003_raw	maf_0.01	Protein	100003_raw	206	33	2	0	0
100004_irnt	maf_0.01	Fat	100004_irnt	221	43	5	0	0
100004_raw	maf_0.01	Fat	100004_raw	237	36	7	1	0
100005_irnt	maf_0.01	Carbohydrate	100005_irnt	249	35	5	0	0
100005_raw	maf_0.01	Carbohydrate	100005_raw	253	29	6	1	0
100006_irnt	maf_0.01	Saturated fat	100006_irnt	227	35	1	0	0
100006_raw	maf_0.01	Saturated fat	100006_raw	214	25	2	0	0
100007_irnt	maf_0.01	Polyunsaturated fat	100007_irnt	218	33	5	0	0
100007_raw	maf_0.01	Polyunsaturated fat	100007_raw	197	34	3	0	0
100008_irnt	maf_0.01	Total sugars	100008_irnt	227	37	5	0	0
100008_raw	maf_0.01	Total sugars	100008_raw	251	32	8	0	0
100009_irnt	maf_0.01	Englyst dietary fibre	100009_irnt	229	39	2	0	0
100009_raw	maf_0.01	Englyst dietary fibre	100009_raw	222	39	4	1	0
100010	maf_0.01	Portion size	100010	236	41	4	0	0
100011_irnt	maf_0.01	Iron	100011_irnt	234	29	4	2	0
100011_raw	maf_0.01	Iron	100011_raw	236	24	3	1	0
100012_irnt	maf_0.01	Vitamin B6	100012_irnt	222	32	4	1	0
100012_raw	maf_0.01	Vitamin B6	100012_raw	233	34	5	2	0
100013_irnt	maf_0.01	Vitamin B12	100013_irnt	196	24	4	0	0
100013_raw	maf_0.01	Vitamin B12	100013_raw	197	27	3	1	0
100014_irnt	maf_0.01	Folate	100014_irnt	220	23	4	0	0
100014_raw	maf_0.01	Folate	100014_raw	210	25	5	0	0
100015_irnt	maf_0.01	Vitamin C	100015_irnt	217	27	3	0	0
100015_raw	maf_0.01	Vitamin C	100015_raw	245	36	4	0	0
100016_irnt	maf_0.01	Potassium	100016_irnt	227	39	6	0	0
100016_raw	maf_0.01	Potassium	100016_raw	228	40	4	0	0
100017_irnt	maf_0.01	Magnesium	100017_irnt	235	29	1	0	0
100017_raw	maf_0.01	Magnesium	100017_raw	230	30	3	0	0
100018_irnt	maf_0.01	Retinol	100018_irnt	230	32	3	0	0
100018_raw	maf_0.01	Retinol	100018_raw	223	37	4	1	0
100019_irnt	maf_0.01	Carotene	100019_irnt	202	31	2	0	0
100019_raw	maf_0.01	Carotene	100019_raw	201	26	4	1	0
