filename	maf	pval	mean_iaf	lower_ci	upper_ci	SNP_number	phenotype_name
100001_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.46516012	0.353285303912099	0.576965031663734	35	Food weight
100001_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.40832382972973	0.297805491591431	0.513011661271308	37	Food weight
100002_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.514336395652174	0.371668978898622	0.654514329368363	23	Energy
100002_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.46897293	0.338234375756322	0.601577181769534	30	Energy
100003_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.56138815	0.42251945696513	0.699571920584535	30	Protein
100003_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.474523803030303	0.347875935182285	0.599727607008421	33	Protein
100004_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.523082025581395	0.427889398882816	0.619897682932214	43	Fat
100004_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.458767672222222	0.356231765281433	0.564391060933435	36	Fat
100005_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.465222485714286	0.344372957700763	0.585676708526446	35	Carbohydrate
100005_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.361983255172414	0.232603287594311	0.4816033420305	29	Carbohydrate
100006_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.423592425714286	0.303066600619734	0.53389410193003	35	Saturated fat
100006_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.440410624	0.289976869148684	0.585761331102797	25	Saturated fat
100007_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.527835203030303	0.408773325638218	0.643336607834928	33	Polyunsaturated fat
100007_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.447037305882353	0.330145728943423	0.562019009365093	34	Polyunsaturated fat
100008_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.437033594594595	0.324235540293794	0.54866602953059	37	Total sugars
100008_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.366419565625	0.240518620604191	0.483217692313295	32	Total sugars
100009_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.53794202051282	0.424507450802589	0.653758683836188	39	Englyst dietary fibre
100009_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.418359169230769	0.307229448068207	0.528413921741951	39	Englyst dietary fibre
100010.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.44768196097561	0.333315883073119	0.563296338978998	41	Portion size
100011_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.482107117241379	0.348528966814677	0.612379237355191	29	Iron
100011_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.463870125	0.317944108439628	0.612466057963291	24	Iron
100012_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.5918126375	0.478754823795929	0.709694474652542	32	Vitamin B6
100012_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.469245482352941	0.338895558072877	0.586788347213222	34	Vitamin B6
100013_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.631068466666667	0.505387257992919	0.757165999371577	24	Vitamin B12
100013_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.436626203703704	0.297795039851926	0.572605923830079	27	Vitamin B12
100014_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.454506504347826	0.306824270300788	0.601099163376387	23	Folate
100014_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.344365608	0.211107728239364	0.465483724866623	25	Folate
100015_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.505479744444444	0.359319293996483	0.65122259499226	27	Vitamin C
100015_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.291071755555556	0.180067222788027	0.393245589206762	36	Vitamin C
100016_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.422264974358974	0.31177627098949	0.528490163977429	39	Potassium
100016_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.4072400675	0.306871015143104	0.512637906300263	40	Potassium
100017_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.472432862068966	0.339122630525774	0.598653296336551	29	Magnesium
100017_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.38890154	0.280342813388512	0.498532083529591	30	Magnesium
100018_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.525497934375	0.393852784960762	0.654784539528313	32	Retinol
100018_raw.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.468098327027027	0.340635277146045	0.597994784670654	37	Retinol
100019_irnt.gwas.imputed_v3.both_sexes.tsv	maf_0.01	pval_1e-5	0.381159077419355	0.237988688337439	0.522292257683016	31	Carotene
